"age","monthsSinceM","pregnancies","children","sons","literacy","ageMarried_15_18","ageMarried_18_20","ageMarried_20_22","ageMarried_22_25","ageMarried_25_30","ageMarried_30_plus","region_10_20k","region_20k_plus","region_lisbon","region_lt10k","region_porto"
48,321,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0
25,79,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
32,98,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
37,248,2,2,2,1,1,0,0,0,0,0,0,0,0,1,0
41,220,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0
42,304,4,4,3,1,1,0,0,0,0,0,1,0,0,0,0
25,59,4,4,0,1,0,0,1,0,0,0,1,0,0,0,0
32,141,3,3,1,1,0,1,0,0,0,0,1,0,0,0,0
30,128,2,2,1,1,0,1,0,0,0,0,1,0,0,0,0
39,225,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0
30,95,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0
32,133,2,2,2,1,0,0,1,0,0,0,1,0,0,0,0
27,79,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0
34,191,2,2,1,1,0,1,0,0,0,0,1,0,0,0,0
34,108,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
34,190,6,6,4,1,0,1,0,0,0,0,1,0,0,0,0
23,51,3,3,2,1,0,1,0,0,0,0,1,0,0,0,0
37,180,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
33,72,2,2,2,1,0,0,0,0,1,0,1,0,0,0,0
39,159,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0
22,28,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0
31,114,2,2,2,1,0,0,1,0,0,0,1,0,0,0,0
30,109,2,2,0,1,0,0,1,0,0,0,1,0,0,0,0
35,154,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
21,15,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
34,121,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
36,120,2,2,0,1,0,0,0,0,1,0,1,0,0,0,0
35,148,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0
36,227,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
30,61,3,3,2,1,0,0,1,0,0,0,1,0,0,0,0
33,139,2,2,0,1,0,0,1,0,0,0,1,0,0,0,0
32,118,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
38,202,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
23,26,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
37,166,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0
48,249,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
21,35,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
18,35,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
45,178,3,3,1,0,0,0,0,0,0,1,1,0,0,0,0
44,357,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0
31,203,5,5,3,1,0,0,0,0,0,0,1,0,0,0,0
36,166,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0
32,149,2,2,1,1,0,1,0,0,0,0,1,0,0,0,0
49,297,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
21,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
32,172,3,3,2,1,0,1,0,0,0,0,1,0,0,0,0
48,361,4,4,1,1,0,1,0,0,0,0,1,0,0,0,0
39,128,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
25,119,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0
45,268,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0
46,241,4,4,2,1,0,0,0,0,1,0,1,0,0,0,0
21,39,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
36,196,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0
49,381,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0
39,246,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0
48,233,2,2,1,1,0,0,0,0,1,0,0,0,0,1,0
31,146,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0
23,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
18,45,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0
32,96,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0
26,78,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0
24,104,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0
38,273,3,3,2,1,1,0,0,0,0,0,0,0,0,1,0
39,175,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0
20,34,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
41,238,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0
42,281,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
47,346,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0
40,200,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
46,307,2,2,2,1,0,0,1,0,0,0,0,0,0,1,0
38,265,3,3,0,1,1,0,0,0,0,0,0,0,0,1,0
46,230,2,2,1,1,0,0,0,0,1,0,0,0,0,1,0
31,183,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0
25,75,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0
39,246,3,3,2,1,0,1,0,0,0,0,0,0,0,1,0
29,8,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
